Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,71.1,98.6,.361,.262,.523,50.1,51.4,14.4,8.5,.483,18.0,31.8,.258
2,Air Force,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,64.7,95.0,.354,.485,.525,46.6,62.9,8.7,8.1,.501,18.7,22.7,.225
3,Akron NCAA,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,72.4,116.3,.259,.461,.583,53.0,59.2,10.6,9.8,.557,14.2,33.5,.195
4,Alabama NCAA,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,76.2,118.7,.401,.462,.594,54.0,54.1,7.9,10.1,.563,14.3,34.7,.287
5,Alabama A&M,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,73.0,98.4,.375,.410,.504,49.5,54.3,11.2,11.5,.470,18.1,35.1,.249
6,Alabama State NCAA,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,69.5,105.3,.297,.428,.507,47.8,45.8,11.2,8.2,.476,11.2,28.9,.206
7,Albany (NY),33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,68.7,107.5,.289,.360,.530,50.8,45.9,11.9,6.5,.499,13.3,32.9,.207
8,Alcorn State,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,66.3,97.7,.306,.294,.496,49.9,43.6,9.9,8.7,.458,16.6,33.5,.219
9,American NCAA,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,64.4,105.1,.304,.449,.555,48.4,52.4,10.1,5.3,.521,15.2,24.4,.230
10,Appalachian State,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,64.5,104.7,.350,.412,.533,50.7,52.7,8.5,10.1,.507,14.5,28.2,.228
11,Arizona NCAA,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,70.2,115.6,.366,.346,.573,54.7,56.7,10.9,12.0,.529,13.8,35.9,.287
12,Arizona State,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,69.9,104.6,.359,.428,.550,47.8,51.2,7.6,12.1,.514,15.5,25.2,.260
13,Arkansas NCAA,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,70.4,108.3,.355,.367,.563,50.6,53.2,10.8,15.4,.527,14.6,27.6,.261
14,Arkansas State,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,70.5,111.4,.336,.452,.534,51.9,51.8,10.3,11.6,.497,12.6,34.2,.245
15,Arkansas-Pine Bluff,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,73.1,99.0,.320,.379,.529,46.8,54.2,9.7,6.3,.515,17.5,26.9,.190
16,Army,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,67.7,105.5,.253,.421,.530,48.6,52.0,9.6,6.3,.507,13.0,27.3,.173
17,Auburn NCAA,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,68.9,121.3,.335,.406,.588,52.6,55.5,10.1,16.5,.557,11.5,34.3,.248
18,Austin Peay,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,67.2,105.3,.288,.409,.525,46.8,49.8,10.2,7.3,.493,12.7,26.7,.207
19,Ball State,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,69.0,108.4,.457,.373,.559,50.9,52.1,7.1,6.0,.519,14.8,27.7,.322
20,Baylor NCAA,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,66.0,113.6,.306,.399,.552,52.4,53.9,11.4,8.7,.518,13.7,36.2,.228
21,Bellarmine,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,67.6,106.6,.255,.445,.576,46.5,53.9,9.3,5.5,.548,16.0,21.2,.197
22,Belmont,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,70.4,112.2,.261,.445,.573,49.1,60.1,9.8,9.2,.550,14.0,27.2,.187
23,Bethune-Cookman,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,69.6,98.6,.359,.339,.517,49.8,52.9,9.6,9.7,.482,17.0,28.8,.248
24,Binghamton,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,66.8,103.2,.336,.365,.555,52.2,51.9,7.1,8.4,.527,17.6,27.6,.233
25,Boise State,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,65.9,113.2,.392,.425,.571,56.0,56.5,8.1,7.5,.525,14.5,33.5,.305
26,Boston College,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,66.8,102.4,.315,.330,.524,49.1,45.3,7.6,10.5,.489,15.0,28.8,.226
27,Boston University,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,64.1,103.1,.312,.422,.534,54.2,49.6,9.3,8.2,.510,17.4,32.8,.207
