Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,1290,819,1845,.444,146,483,.302,476,666,.715,355,1081,421,331,94,476,670
2,Air Force,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,1290,680,1616,.421,259,783,.331,363,572,.635,236,956,428,181,91,433,571
3,Akron NCAA,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,1365,1039,2197,.473,369,1013,.364,429,570,.753,410,1325,615,262,127,407,609
4,Alabama NCAA,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,1330,1026,2126,.483,344,983,.350,611,853,.716,426,1422,555,200,147,422,628
5,Alabama A&M,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,1300,795,1966,.404,257,807,.318,490,738,.664,447,1172,432,266,131,513,687
6,Alabama State NCAA,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,1365,874,2158,.405,305,924,.330,444,642,.692,397,1232,400,266,97,311,620
7,Albany (NY),33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,1335,901,2044,.441,238,736,.323,423,591,.716,392,1117,414,273,77,357,575
8,Alcorn State,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,1285,754,1833,.411,171,538,.318,402,561,.717,377,1087,329,211,86,418,544
9,American NCAA,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,1380,813,1836,.443,286,824,.347,422,558,.756,262,1031,426,225,63,376,607
10,Appalachian State,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,1245,738,1692,.436,240,697,.344,386,593,.651,304,1145,389,171,114,335,414
11,Arizona NCAA,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,1370,977,2067,.473,232,716,.324,593,756,.784,416,1346,554,262,146,390,566
12,Arizona State,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,1295,804,1836,.438,281,786,.358,477,659,.724,282,1093,412,172,142,395,543
13,Arkansas NCAA,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,1325,896,1922,.466,235,706,.333,501,683,.734,304,1165,477,251,186,385,532
14,Arkansas State,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,1370,922,2174,.424,315,982,.321,533,730,.730,457,1390,478,249,156,363,627
15,Arkansas-Pine Bluff,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,1240,834,1838,.454,225,696,.323,349,589,.593,306,1053,452,220,66,449,588
16,Army,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,1270,842,1911,.441,253,805,.314,331,483,.685,312,1082,438,207,68,319,482
17,Auburn NCAA,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,1325,980,2031,.483,303,824,.368,504,681,.740,385,1223,544,230,204,305,614
18,Austin Peay,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,1335,836,1980,.422,280,810,.346,410,570,.719,326,1085,416,229,87,327,589
19,Ball State,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,1250,781,1718,.455,221,641,.345,553,785,.704,292,1101,407,154,67,363,507
20,Baylor NCAA,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,1345,894,1995,.448,280,797,.351,455,611,.745,420,1187,482,252,95,363,538
21,Bellarmine,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,1250,814,1743,.467,281,776,.362,343,444,.773,205,909,439,197,53,371,522
22,Belmont,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,1325,945,2033,.465,347,905,.383,381,530,.719,317,1142,568,229,104,371,514
23,Bethune-Cookman,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,1320,800,1870,.428,202,634,.319,463,671,.690,334,1175,423,220,121,448,531
24,Binghamton,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,1295,800,1735,.461,227,633,.359,404,583,.693,284,1149,415,153,96,431,525
25,Boise State,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,1365,862,1878,.459,248,799,.310,572,736,.777,361,1235,487,182,90,379,546
26,Boston College,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,1275,783,1811,.432,206,597,.345,410,570,.719,318,1065,355,162,121,368,571
27,Boston University,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,1300,768,1752,.438,250,740,.338,362,546,.663,349,1124,381,194,83,423,515
28,Bowling Green State,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,1280,815,1857,.439,255,745,.342,467,626,.746,297,1100,359,232,102,392,556
29,Bradley,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,1380,918,1897,.484,326,813,.401,450,596,.755,283,1171,493,226,128,392,569
30,Brigham Young NCAA,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,1345,950,1970,.482,353,952,.371,419,594,.705,366,1237,569,236,104,400,532
31,Brown,27,14,13,.519,-4.92,-4.00,,6,8,,8,6,,6,7,,1950,1933,,1095,723,1613,.448,221,659,.335,283,448,.632,296,979,398,160,142,314,424
32,Bryant NCAA,34,23,11,.676,-1.68,-7.55,,14,2,,12,3,,10,7,,2800,2511,,1365,1028,2234,.460,266,790,.337,478,667,.717,456,1410,509,228,205,408,532
33,Bucknell,33,18,15,.545,-5.08,-5.95,,13,5,,12,4,,6,10,,2443,2414,,1380,862,1850,.466,268,759,.353,451,679,.664,281,1117,448,219,106,433,587
34,Buffalo,31,9,22,.290,-14.94,-3.70,,4,14,,6,9,,3,13,,2226,2508,,1240,776,1821,.426,243,800,.304,431,616,.700,286,1069,419,209,109,451,517
35,Butler,33,14,19,.424,10.32,10.29,,6,14,,9,8,,2,9,,2437,2436,,1325,830,1822,.456,273,745,.366,504,679,.742,283,1155,461,134,93,365,444
36,Cal Poly,35,16,19,.457,-1.95,-0.15,,8,12,,9,5,,5,13,,2873,2901,,1420,1011,2187,.462,403,1114,.362,448,585,.766,352,1221,535,275,75,550,630
37,Cal State Bakersfield,33,14,19,.424,-5.42,-1.74,,8,12,,9,6,,4,11,,2434,2430,,1330,851,1944,.438,218,573,.380,514,666,.772,424,1173,334,225,92,416,671
