Rk,School,Conf,AP Rank ,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,Seed
1,Duke,ACC,1,31,3,82.7,61.9,20.79,9.55,14.04,16.31,30.35,130.22,85.92,44.31,1
2,Auburn,SEC,4,28,5,83.8,69.6,14.24,15.39,17.96,11.67,29.63,130.73,89.16,41.58,1
3,Houston,Big 12,2,30,4,74.2,58.5,15.74,12.71,7.45,21,28.45,125.49,82.56,42.93,1
4,Florida,SEC,3,30,4,85.4,69.2,16.18,11.84,17.8,10.22,28.02,128.16,89.04,39.12,1
5,Alabama,SEC,7,25,8,91.1,81.4,9.7,16.35,24.73,1.32,26.04,127.93,92.42,35.51,2
6,Tennessee,SEC,6,27,7,74.7,63,11.71,13.17,6.35,18.53,24.88,121.23,85.24,35.99,2
7,Texas Tech,Big 12,9,25,8,80.9,67.6,13.33,10.57,13.57,10.34,23.91,127.72,92.76,34.96,3
8,Gonzaga,WCC,24,25,8,86.6,69.6,17,6.63,17.26,6.37,23.63,124.99,92.11,32.88,8
9,Maryland,Big Ten,11,25,8,81.7,67,14.67,8.85,12.53,10.99,23.52,120.8,88.54,32.26,4
10,Arizona,Big 12,21,22,12,81.7,72.4,9.29,13.84,16.13,7,23.13,124.51,91.87,32.64,4
11,Iowa State,Big 12,15,24,9,80.4,68.1,12.3,10.74,12.56,10.48,23.04,121.35,88.8,32.55,3
12,Michigan State,Big Ten,8,27,6,78.2,67.2,10.91,11.58,9.96,12.53,22.49,120.38,88.64,31.74,2
13,St. John's (NY),Big East,5,30,4,78.7,65.9,12.82,8.9,10.68,11.04,21.72,115.54,85.13,30.41,2
14,Illinois,Big Ten,,21,12,83.8,74.6,9.21,12.49,17.06,4.65,21.71,123.45,93.57,29.88,6
15,Kentucky,SEC,18,22,11,85.3,77.9,7.42,14.21,17.82,3.82,21.63,125.97,95.9,30.08,3
16,Wisconsin,Big Ten,13,26,9,79.7,70.4,9.29,11.65,12.09,8.85,20.94,123.21,93.57,29.64,3
17,Kansas,Big 12,,21,12,76.2,69.3,6.94,13.8,9.94,10.8,20.74,118.46,88.56,29.9,7
18,Purdue,Big Ten,22,22,11,77.9,71.1,6.79,13.91,10.71,9.99,20.7,126.38,96.84,29.53,4
19,Missouri,SEC,23,22,11,84.5,73.8,10.61,9.82,15.23,5.2,20.43,126.59,97.87,28.72,6
20,Michigan,Big Ten,14,25,9,78.3,71.2,7.03,13.14,11.63,8.54,20.17,118.13,90.31,27.82,5
21,Texas A&M,SEC,19,22,10,74.3,67.9,6.38,13.68,7.29,12.77,20.06,118.08,89.11,28.97,4
22,Brigham Young,Big 12,17,24,9,81,70.9,10.09,9.68,13.57,6.2,19.77,124.41,96.28,28.14,6
23,Baylor,Big 12,,19,14,76.5,69.2,7.3,13.59,10.09,9.34,19.43,124.05,96.15,27.9,9
24,Louisville,ACC,10,27,7,78.6,68.9,9.68,9.65,10.75,8.58,19.33,119.72,92.5,27.22,8
25,UCLA,Big Ten,,22,10,74.8,65.7,9.03,10.19,5.88,13.35,19.22,119.7,92.16,27.54,7
26,Marquette,Big East,,23,10,76.9,68.5,8.33,10.52,9.81,9.04,18.86,119.62,92.85,26.76,7
27,Clemson,ACC,12,27,6,76.3,65.7,10.67,7.84,7.06,11.45,18.51,120.58,93.09,27.49,5
28,Mississippi,SEC,,22,11,77.2,71.7,5.45,12.49,9.73,8.22,17.95,118.67,93.12,25.55,6
29,Ohio State,Big Ten,,17,15,78.8,73.5,5.28,12.6,11.15,6.73,17.89,119.9,95.09,24.8,
30,Connecticut,Big East,,23,10,77.4,68,9.36,8.44,8.77,9.04,17.81,123.68,98.02,25.66,8
31,North Carolina,ACC,,23,13,81.2,74.8,6.42,11.38,14.55,3.24,17.79,121.43,96.32,25.11,11
32,Saint Mary's (CA),WCC,20,28,5,73.5,60.7,12.85,5.78,1.46,16.32,17.78,117.19,90.25,26.93,7
33,Mississippi State,SEC,,21,12,79.8,74.2,5.61,11.95,11.5,6.06,17.55,120.68,95.83,24.85,8
34,Oregon,Big Ten,25,24,9,76.2,70.9,5.27,12.18,9,8.45,17.45,118.24,93.57,24.67,5
35,Georgia,SEC,,20,12,75.6,69.3,6.25,10.98,6.71,10.52,17.23,117.4,93.2,24.19,9
36,Arkansas,SEC,,20,13,76.6,71.2,5.45,11.21,8.3,8.36,16.67,114.72,91.8,22.92,10
37,Creighton,Big East,,24,10,75.2,69.5,5.71,10.6,8.19,8.11,16.3,119.05,95.56,23.5,9
38,Texas,SEC,,19,15,78.4,72.2,6.21,9.99,10.19,6.01,16.2,119.83,96.96,22.87,11
39,Xavier,Big East,,21,11,78,70.9,7.16,8.39,10.12,5.43,15.54,118.1,96.19,21.91,11
40,Oklahoma,SEC,,20,13,78.8,74.8,4,11.43,10.62,4.81,15.43,120.66,98.81,21.85,9
41,West Virginia,Big 12,,19,13,68.2,64.8,3.34,11.94,1.37,13.91,15.29,112.3,90.54,21.76,
42,Vanderbilt,SEC,,20,12,79.6,74.8,4.84,10.19,11.72,3.32,15.04,119.71,98.6,21.11,10
43,New Mexico,MWC,,26,7,81.2,70.8,10.48,5.78,11.57,3.41,14.97,113.28,92.94,20.34,10
44,Southern Methodist,ACC,,23,10,80,71.1,8.91,6.05,10.39,4.57,14.96,117.92,97.45,20.48,
45,Virginia Commonwealth,A-10,,28,6,77.1,62.4,14.74,1.14,4.87,10.08,14.96,116.01,93.66,22.35,11
46,Indiana,Big Ten,,19,13,74.7,72,2.63,11.99,6.91,7.7,14.61,114.93,94.33,20.6,
47,Cincinnati,Big 12,,18,15,70.5,65.7,4.82,9.76,2.61,11.97,14.58,113.47,92.93,20.55,
48,Northwestern,Big Ten,,17,16,72.4,69.2,3.27,11.2,4.38,10.1,14.48,115.22,94.6,20.61,
49,Utah State,MWC,,26,7,80.9,70,10.91,5,11.22,3.04,14.25,122.59,101.83,20.76,10
50,Santa Clara,WCC,,21,12,81.9,72.5,9.36,4.49,10.54,3.31,13.85,118.51,98.89,19.62,
51,Colorado State,MWC,,25,9,75.2,67.1,8.15,5.56,5.96,7.75,13.7,117.27,97.03,20.24,12
52,Boise State,MWC,,24,10,74.9,66.1,8.82,5.66,5.04,8.65,13.69,118.31,98.21,20.1,
53,Pittsburgh,ACC,,17,15,75.9,70.8,5.03,8.61,6.96,6.69,13.65,117.28,98.3,18.98,
54,Penn State,Big Ten,,16,15,79.1,73.2,5.87,7.74,9.56,4.05,13.62,116.23,97.94,18.29,
55,Villanova,Big East,,19,14,73.4,67.5,5.88,7.42,4.88,8.41,13.3,120.78,101.11,19.66,
56,Nebraska,Big Ten,,17,14,75.4,72.9,2.52,10.45,6.59,6.38,12.96,114.19,96.02,18.17,
57,Iowa,Big Ten,,17,16,82.5,79.7,2.79,10.09,13.49,-0.61,12.88,122.06,104.68,17.39,
58,San Diego State,MWC,,21,10,70.8,64.6,6.13,8.23,1.42,11.44,12.86,110.74,91.82,18.92,11
59,UC San Diego,Big West,,30,4,79.8,61.6,18.15,-2.34,3.8,8.96,12.76,114.29,95.49,18.8,12
60,Memphis,AAC,16,29,5,80.1,73.2,6.91,5.71,9.38,3.24,12.62,114.41,96.68,17.73,5
61,Southern California,Big Ten,,16,17,76.9,75.5,1.39,11.03,9.11,3.31,12.42,118.03,100.76,17.27,
62,Utah,Big 12,,16,16,75.3,72.2,3.09,8.86,7.18,4.77,11.95,114.22,97.64,16.58,
63,Kansas State,Big 12,,16,17,70.8,69.6,1.21,10.09,3.41,7.89,11.3,112.39,96.55,15.84,
64,Arizona State,Big 12,,13,19,73.9,76.5,-2.53,13.73,7.09,4.12,11.2,113.49,97.4,16.09,
65,San Francisco,WCC,,24,9,75.9,68.9,7.03,4.2,4.35,6.6,10.95,112.07,96.41,15.66,
66,TCU,Big 12,,16,16,67.6,68.7,-1.16,12.08,0.73,10.19,10.92,109.32,93.63,15.69,
67,UCF,Big 12,,17,16,79.3,80.1,-0.82,11.53,12.82,-2.11,10.71,116.23,100.06,16.18,
